,Year,country,gas
0,1900,United States,0.26582551
1,1901,United States,0.29458103
2,1902,United States,0.32333653
3,1903,United States,0.35209204
4,1904,United States,0.38084755
5,1905,United States,0.40960305
6,1906,United States,0.43835856
7,1907,United States,0.46711404
8,1908,United States,0.49586958
9,1909,United States,0.52462508
10,1910,United States,0.55338059
11,1911,United States,0.58321148
12,1912,United States,0.61304245
13,1913,United States,0.64287335
14,1914,United States,0.67270424
15,1915,United States,0.70253521
16,1916,United States,0.73236611
17,1917,United States,0.76219704
18,1918,United States,0.79202797
19,1919,United States,0.8218589
20,1920,United States,0.8516898
21,1921,United States,0.88152073
22,1922,United States,0.91135166
23,1923,United States,1.0674828
24,1924,United States,1.22361408
25,1925,United States,1.37974525
26,1926,United States,1.53587646
27,1927,United States,1.6920077
28,1928,United States,1.84813902
29,1929,United States,1.93148086
30,1930,United States,2.01482291
31,1931,United States,2.09816478
32,1932,United States,2.18150662
33,1933,United States,2.26484867
34,1934,United States,2.34819054
35,1935,United States,2.43153252
36,1936,United States,2.51487443
37,1937,United States,2.5982163
38,1938,United States,2.81927376
39,1939,United States,3.0403314
40,1940,United States,3.26138886
41,1941,United States,3.48244632
42,1942,United States,3.7035036
43,1943,United States,3.92456124
44,1944,United States,4.14561888
45,1945,United States,4.36667616
46,1946,United States,4.5877338
47,1947,United States,5.06164752
48,1948,United States,5.68688724
49,1949,United States,5.98739472
50,1950,United States,6.93963
51,1951,United States,8.23762692
52,1952,United States,8.85182616
53,1953,United States,9.276039
54,1954,United States,9.6582366
55,1955,United States,10.3895496
56,1956,United States,11.1374032
57,1957,United States,11.7980269
58,1958,United States,12.1846716
59,1959,United States,13.3070371
60,1960,United States,14.1079079
61,1961,United States,14.5619647
62,1962,United States,15.245761
63,1963,United States,16.2024066
64,1964,United States,17.1196488
65,1965,United States,17.7191402
66,1966,United States,19.0083204
67,1967,United States,20.073222
68,1968,United States,21.3447287
69,1969,United States,22.8647794
70,1970,United States,20.5726428
71,1971,United States,21.1557798
72,1972,United States,21.0871811
73,1973,United States,21.0680017
74,1974,United States,20.1400981
75,1975,United States,18.6494926
76,1976,United States,18.4975416
77,1977,United States,18.5782572
78,1978,United States,18.5021946
79,1979,United States,19.0635012
80,1980,United States,18.9032652
81,1981,United States,18.7053372
82,1982,United States,17.3948342
83,1983,United States,15.7562568
84,1984,United States,17.0994377
85,1985,United States,16.1237232
86,1986,United States,15.7063212
87,1987,United States,16.2713214
88,1988,United States,16.7107518
89,1989,United States,16.9468848
90,1990,United States,17.4016055
91,1991,United States,17.3091006
92,1992,United States,17.4480822
93,1993,United States,17.6464764
94,1994,United States,18.3719088
95,1995,United States,18.1195506
96,1996,United States,18.3683556
97,1997,United States,18.4154364
98,1998,United States,18.6238091
99,1999,United States,18.3649694
100,2000,United States,18.6696108
101,2001,United States,19.1482189
102,2002,United States,18.4042354
103,2003,United States,18.6428088
104,2004,United States,18.1119622
105,2005,United States,17.6198688
106,2006,United States,18.062064
107,2007,United States,18.7879993
108,2008,United States,19.6584275
109,2009,United States,20.07297
110,2010,United States,20.7056664
111,2011,United States,22.224906
112,2012,United States,23.3684928
113,2013,United States,23.6049379
114,2014,United States,25.3701526
115,2015,United States,26.6509141
116,2016,United States,26.1848196
117,2017,United States,26.8621452
118,2018,United States,30.2736996
119,2019,United States,33.411996
120,2020,United States,32.979762
121,2021,United States,33.9891084
122,2022,United States,35.2278252
123,1900,Russia,
124,1901,Russia,
125,1902,Russia,
126,1903,Russia,
127,1904,Russia,
128,1905,Russia,
129,1906,Russia,
130,1907,Russia,
131,1908,Russia,
132,1909,Russia,
133,1910,Russia,
134,1911,Russia,
135,1912,Russia,
136,1913,Russia,
137,1914,Russia,
138,1915,Russia,
139,1916,Russia,
140,1917,Russia,
141,1918,Russia,
142,1919,Russia,
143,1920,Russia,
144,1921,Russia,
145,1922,Russia,
146,1923,Russia,
147,1924,Russia,
148,1925,Russia,
149,1926,Russia,
150,1927,Russia,
151,1928,Russia,
152,1929,Russia,
153,1930,Russia,
154,1931,Russia,
155,1932,Russia,
156,1933,Russia,
157,1934,Russia,
158,1935,Russia,
159,1936,Russia,
160,1937,Russia,
161,1938,Russia,
162,1939,Russia,
163,1940,Russia,
164,1941,Russia,
165,1942,Russia,
166,1943,Russia,
167,1944,Russia,
168,1945,Russia,
169,1946,Russia,
170,1947,Russia,
171,1948,Russia,
172,1949,Russia,
173,1950,Russia,
174,1951,Russia,
175,1952,Russia,
176,1953,Russia,
177,1954,Russia,
178,1955,Russia,
179,1956,Russia,
180,1957,Russia,
181,1958,Russia,
182,1959,Russia,
183,1960,Russia,
184,1961,Russia,
185,1962,Russia,
186,1963,Russia,
187,1964,Russia,
188,1965,Russia,
189,1966,Russia,
190,1967,Russia,
191,1968,Russia,
192,1969,Russia,
193,1970,Russia,
194,1971,Russia,
195,1972,Russia,
196,1973,Russia,
197,1974,Russia,
198,1975,Russia,
199,1976,Russia,
200,1977,Russia,
201,1978,Russia,
202,1979,Russia,
203,1980,Russia,
204,1981,Russia,
205,1982,Russia,
206,1983,Russia,
207,1984,Russia,
208,1985,Russia,15.2957232
209,1986,Russia,16.6524156
210,1987,Russia,18.0196992
211,1988,Russia,19.5260328
212,1989,Russia,20.3867946
213,1990,Russia,21.58524
214,1991,Russia,21.2872824
215,1992,Russia,21.320388
216,1993,Russia,20.4695604
217,1994,Russia,20.1053916
218,1995,Russia,19.4829962
219,1996,Russia,19.8835812
220,1997,Russia,18.8473572
221,1998,Russia,19.4863068
222,1999,Russia,19.598868
223,2000,Russia,19.334016
224,2001,Russia,19.2512531
225,2002,Russia,19.7114274
226,2003,Russia,20.5423945
227,2004,Russia,20.9727738
228,2005,Russia,21.2210701
229,2006,Russia,21.7721232
230,2007,Russia,21.6580727
231,2008,Russia,22.012308
232,2009,Russia,19.302831
233,2010,Russia,21.5419237
234,2011,Russia,22.2057972
235,2012,Russia,21.6667775
236,2013,Russia,22.1218646
237,2014,Russia,21.2815847
238,2015,Russia,21.0398238
239,2016,Russia,21.2139122
240,2017,Russia,22.8801924
241,2018,Russia,24.0878088
242,2019,Russia,24.444967
243,2020,Russia,22.9840787
244,2021,Russia,25.2762066
245,2022,Russia,22.2612538
246,1900,Iran,0.0
247,1901,Iran,0.0
248,1902,Iran,0.0
249,1903,Iran,0.0
250,1904,Iran,0.0
251,1905,Iran,0.0
252,1906,Iran,0.0
253,1907,Iran,0.0
254,1908,Iran,0.0
255,1909,Iran,0.0
256,1910,Iran,0.0
257,1911,Iran,0.0
258,1912,Iran,0.0
259,1913,Iran,0.0
260,1914,Iran,0.0
261,1915,Iran,0.0
262,1916,Iran,0.0
263,1917,Iran,0.0
264,1918,Iran,0.0
265,1919,Iran,0.0
266,1920,Iran,0.0
267,1921,Iran,0.0
268,1922,Iran,0.0
269,1923,Iran,0.0
270,1924,Iran,0.0
271,1925,Iran,0.0
272,1926,Iran,0.0
273,1927,Iran,0.0
274,1928,Iran,0.0
275,1929,Iran,0.0
276,1930,Iran,0.0
277,1931,Iran,0.0
278,1932,Iran,0.0
279,1933,Iran,0.0
280,1934,Iran,0.0
281,1935,Iran,0.0
282,1936,Iran,0.0
283,1937,Iran,0.0
284,1938,Iran,0.0
285,1939,Iran,0.0
286,1940,Iran,0.0
287,1941,Iran,0.0
288,1942,Iran,0.0
289,1943,Iran,0.0
290,1944,Iran,0.0
291,1945,Iran,0.0
292,1946,Iran,0.0
293,1947,Iran,0.0
294,1948,Iran,0.0
295,1949,Iran,0.0
296,1950,Iran,0.0
297,1951,Iran,0.0
